"","year","Gender","age","Degree","Race","Party","Spend","LegalVSIllegal","NAGender","NAage","NADegree","NARace","NAPArty","NASpend","NALegal"
"1",2021,"Female",65,"HIGH SCHOOL","White","INDEPENDENT (NEITHER, NO RESPONSE)","Too little",NA,100,333,23,15,146,2068,2927
"2",2021,"Male",60,"BACHELORS","White","INDEPENDENT, CLOSE TO DEMOCRAT",NA,"SHOULD BE LEGAL",100,333,23,15,146,2068,2927
"3",2021,NA,NA,"LESS THAN HIGH SCHOOL","White","STRONG DEMOCRAT","Too little",NA,100,333,23,15,146,2068,2927
"4",2021,NA,NA,"LESS THAN HIGH SCHOOL","White","INDEPENDENT (NEITHER, NO RESPONSE)",NA,"SHOULD BE LEGAL",100,333,23,15,146,2068,2927
"5",2021,"Female",NA,"HIGH SCHOOL","Black","STRONG DEMOCRAT","About right",NA,100,333,23,15,146,2068,2927
"6",2021,"Female",33,"BACHELORS","Black","INDEPENDENT (NEITHER, NO RESPONSE)","Too little",NA,100,333,23,15,146,2068,2927
"7",2021,"Male",20,"HIGH SCHOOL","White","INDEPENDENT, CLOSE TO DEMOCRAT","Too little",NA,100,333,23,15,146,2068,2927
"8",2021,"Female",NA,"GRADUATE","White","NOT VERY STRONG DEMOCRAT",NA,NA,100,333,23,15,146,2068,2927
"9",2021,"Male",76,"HIGH SCHOOL","White","INDEPENDENT, CLOSE TO DEMOCRAT",NA,"SHOULD BE LEGAL",100,333,23,15,146,2068,2927
"10",2021,"Female",61,"BACHELORS","Chinese","INDEPENDENT, CLOSE TO DEMOCRAT",NA,"SHOULD NOT BE LEGAL",100,333,23,15,146,2068,2927
"11",2021,"Male",37,"LESS THAN HIGH SCHOOL","White","INDEPENDENT (NEITHER, NO RESPONSE)","Too little",NA,100,333,23,15,146,2068,2927
"12",2021,"Male",23,"HIGH SCHOOL","White","NOT VERY STRONG REPUBLICAN",NA,NA,100,333,23,15,146,2068,2927
